Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258703,Organic Chemistry
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228704,Molecular Genetics and Cytogenetics
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228804,Microbial Metabolism
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259004,Theory of Games & Sports (Track & Field)
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258004,"Work Education, Gandhijis Nai Talim and Community Engagement"
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258604,a) English (Fiction) 
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258606,b) Sanskrit
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258704,Physical Chemistry
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,2nd,Education,0258904,"Identifying Gifted, Creative and Problem Children "
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258204,Measurement and Evaluation in Phys. Education
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458907,a) Computer Education
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458908,b) Special Education
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,4th,Art,0418605,Fashion Theory
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458604,Teaching of Sanskrit
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458716,Knowledge & Curriculum
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128706,Instrumentation & Bio-analytical Techniques
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128806,Bio-Physics
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159006,Sports & Games of Spec.
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158006,Pedagogy of English
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158007,Pedagogy of Sanskrit
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158015,Pedagogy of Urdu
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158610,Political Science (National Movement & Constitution)
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158708,a) Biology of Non chordates
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158710,b) Calculus
08-Apr-26,Wednesday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158206,Organization and Administration
08-Apr-26,Wednesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Bio-Technology,0328704,Nano-Biotechnology
08-Apr-26,Wednesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Microbiology,0328804,Agricultural Microbiology
08-Apr-26,Wednesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,"Physical Education, Health Education & Sports",0359004,Theory of Games & Sports (Track & Field)
08-Apr-26,Wednesday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,3rd,Education,0358904,Pedagogy of Environmental Studies
08-Apr-26,Wednesday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358606,Sanskrit
08-Apr-26,Wednesday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,0358704,Physical Chemistry
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228705,Immunology and Immuno-technology
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228805,Molecular Biology
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259005,Theory of Games & Sports (Gymnastics)
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258005,Assessment for Learning
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258607,History (Medieval India 1206-1526 AD)
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258707,a) Chordate Structure and Fuction
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258709,b) 3D Geometry and Vector Calculus
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258205,Kinesiology and Biomechanics
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,4th,Art,0418606,"Apparel Fabric Studies, Fundamentals of Apparel Production"
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458605,Teaching of Home Science
09-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458717,Understanding Inclusive Education
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128707,Bio-mathematics & Bio-statistics
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128807,Instrumentation and Culture Techniques
