Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.Sc Microbiology,Microbiology,Microbial Physiology and Biochemistry,GM-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.Sc Bio-Informatics,Bioinformatics,Operating System Through UNIX/LINUX,BI-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.Sc Bio-Chemistry,Biochemistry,Plant Biochemistry,BCH-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.C.S / M.Sc CS,Computer Science,Foundation Course in Computers II,MCS-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc CS,Computer Science,English Language and Professional Communication II,BCS-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),BPES,Physical Education,Anatomy and Physiology,BPES-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),BLISc,Library Science,Management of Libraries and Information Centers,BLS-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.Lib,I Library Science,Information Storage and Retrieval System,MLS-201,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Voc Psychology,Psychology,Health Psychology,ACP-2101,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Voc Yogic Science,Yoga,Yogi Text (Geeta),YS-2101,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com LL.B,Law,Managerial Economics II,BCL-2001,2nd
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),MIB,MIB,Analytics for Managers,MIB-201,2nd
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.B.A,Business Administration,Management Information System,BBA-601,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.B.A,Business Administration,Strategic Management and Business Policy,BBA-601,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.C.A,Computer Application,Computer Network Security,BCA-601,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A LL.B,Law,Environmental Law,BL-6001,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A LL.B,Law,International Law,BL-601,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc CS,Computer Science,System Analysis and Design,BCS-601,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),BPES,Physical Education,Professional Preparation in Physical Education & Sports,BPES-601,6th
5-May-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Voc Yogic Science,Yoga,Introduction of Herbs,YS-6101,6th
